"","act","mod","e1","e2","e3","expert.1","expert.2","expert.3","docket","casename","certdate","argudate","ctbelow","constat","subjmatt","numexper","courtact","issue","value","dir","vote","constit","statut","comlaw","criminal","courtmod","har_value","har_dir","ali_issue","ali_value","just","exp.tot"
"1608",0,1,0,NA,NA,816,NA,NA,"""02-0299""","""Entergy Louisiana, Inv. v. Louisiana Public Service Comm.""","2003-01-17","2003-04-28","""SC-LA""",NA,NA,1,0,NA,8,0,NA,0,1,0,0,0,10,1,631,8,9,0
"1638",0,1,1,NA,NA,893,NA,NA,"""02-0306""","""Beneficial Nat'l Bank v. Anderson""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,1,0,NA,8,1,NA,0,1,0,0,0,9,1,851,9,9,0
"1668",0,0,0,0,NA,774,763,NA,"""02-0311""","""Wiggins v. Smith""","2002-11-18","2003-03-24","""CA-4""",NA,NA,2,0,NA,1,1,NA,1,0,0,1,0,1,1,382,2,9,0
"1698",1,0,1,1,1,585,496,102,"""02-0337""","""Breuer v. Jim's Concrete""","2003-01-10","2003-04-02","""USCA-11""",NA,NA,3,1,NA,9,0,NA,0,1,0,0,0,9,1,559,7,9,1
"1728",1,1,1,1,NA,333,526,NA,"""02-0361""","""US v. American Library Assn""","2002-11-12","2003-03-05","""USDC-E. PA""",NA,NA,2,0,NA,NA,0,NA,1,0,0,0,0,3,0,401,3,9,0
"1758",0,0,1,1,NA,71,585,NA,"""02-0371""","""Virginia v. Hicks""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,2,0,NA,2,0,NA,1,0,0,1,0,3,0,401,3,9,0
"1788",0,0,0,0,NA,333,773,NA,"""02-0403""","""FEC v. Beaumont""","2002-11-18","2003-03-25","""CA-4""",NA,NA,2,0,NA,2,0,NA,1,0,0,0,0,3,0,444,3,9,0
"1818",0,0,1,0,NA,853,463,NA,"""02-0428""","""Dastar Corp. v. Twentieth Century Fox Film Corp.""","2003-01-10","2003-04-02","""USCA-9""",NA,NA,2,0,NA,8,1,NA,0,1,0,0,0,8,1,662,8,9,0
"1848",0,0,1,NA,NA,530,NA,NA,"""02-0469""","""Black & Decker Disability Plan v. Nord""","2003-01-10","2003-04-28","""USCA-9""",NA,NA,1,0,NA,NA,0,NA,0,1,0,0,0,8,0,621,8,9,0
"1878",1,1,1,0,1,602,949,512,"""02-0516""","""Gratz v. Bollinger""","2006-12-02","2003-04-01","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,2,0,223,2,9,0.666666666666667
"1908",0,0,1,1,NA,774,70,NA,"""02-0524""","""Price v. Vincent""","2003-01-10","2003-04-21","""USCA-6""",NA,NA,2,0,NA,1,0,NA,1,1,0,1,0,1,0,704,9,9,0
"1938",1,0,1,NA,NA,10,NA,NA,"""02-0679""","""Desert Palace, Inc. v. Costa""","2003-01-10","2003-04-21","""USCA-9""",NA,NA,1,1,NA,2,1,NA,0,1,0,0,0,2,1,284,2,9,0
"1968",0,1,0,0,NA,988,512,NA,"""02-0695""","""Fitzgerald v. Racing Assn of Central Iowa""","2003-01-17","2003-04-29","""SC-IA""",NA,NA,2,0,NA,2,1,NA,1,0,0,0,0,8,1,507,4,9,0
"1998",0,0,1,0,NA,309,585,NA,"""02-0722""","""American Insurance Assn v. Low""","2003-01-10","2003-04-23","""USCA-9""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,0,10,1,631,8,9,0
"2028",0,0,0,0,NA,524,856,NA,"""02-5664""","""Sell v. US""","2002-11-04","2003-03-03","""USCA-8""",NA,NA,2,0,NA,1,0,NA,1,0,0,1,1,4,1,504,4,9,0
